"Supplementary Dataset S1. Proteins that were identified in total cell extract and included in further differential expression analysis. For each protein the fold change and p-values (unadjusted-adjusted for FDR) are provided, along with the expression trend at the mRNA level. Differentially expressed proteins (as defined by fold change >1.5, p<0.05)  are marked in blue.",,,,,,,,,,,,,,,,,,,,,,
Accession,UniprotID,Protein Name,Prediction of signal peptide (SignalIP),Transcriptomics: Ratio (T24M vs T24),Proteomics:,Avg. T24,SD. T24,Avg. T24M,SD. T24M,Fold Change        (Avg. T24M/ Avg. T24),p-value (unadjusted),p-value                    (FDR- BH adjusted),Area T24_T1 normalized,Area T24_T2 normalized,Area T24_T3 normalized,Area T24_T4 normalized,Area T24_T5 normalized,Area T24M_T6 normalized,Area T24M_T7 normalized,Area T24M_T8 normalized,Area T24M_T9 normalized,Area T24M_T10 normalized
Q15366,PCBP2_HUMAN,Poly(rC)-binding protein 2 ,Not predicted,1.31,,"1,434.20",177.11,"1,580.98",66.85,1.10,0.117,0.215,"1,131.13","1,462.98","1,501.24","1,479.41","1,596.25","1,649.87","1,576.52","1,590.38","1,615.81","1,472.32"
P46782,RS5_HUMAN,40S ribosomal protein S5 ,Not predicted,0.76,,"1,112.98",100.97,"1,226.25",77.15,1.10,0.076,0.155,"1,178.82","1,121.15","1,212.05",950.33,"1,102.53","1,276.10","1,174.81","1,326.67","1,219.91","1,133.76"
P55795,HNRH2_HUMAN,Heterogeneous nuclear ribonucleoprotein H2 ,Not predicted,1.12,,"1,619.55",157.23,"1,783.36",211.61,1.10,0.175,0.282,"1,354.03","1,616.36","1,761.65","1,691.93","1,673.79","1,991.81","1,476.44","1,799.99","1,961.83","1,686.72"
P53992,SC24C_HUMAN,Protein transport protein Sec24C ,Not predicted,0.85,,134.57,32.56,148.17,29.32,1.10,0.465,0.569,150.15,123.51,123.22,94.84,181.13,151.54,131.65,196.79,121.49,139.36
P42785,PCP_HUMAN,Lysosomal Pro-X carboxypeptidase ,Predicted,0.54,,122.46,69.72,134.81,27.54,1.10,0.602,0.690,165.23,137.09,166.98,0.00,142.97,166.91,122.34,133.91,96.54,154.36
Q13148,TADBP_HUMAN,TAR DNA-binding protein 43 ,Not predicted,1.17,,323.05,21.59,355.49,40.53,1.10,0.347,0.458,309.40,313.05,346.30,300.49,346.03,412.03,305.86,377.60,341.41,340.53
P16152,CBR1_HUMAN,Carbonyl reductase [NADPH] 1 ,Not predicted,1.00,,375.26,56.11,412.62,13.32,1.10,0.465,0.569,424.84,348.32,341.09,317.07,444.95,408.52,416.72,431.09,394.32,412.45
Q14204,DYHC1_HUMAN,Cytoplasmic dynein 1 heavy chain 1 ,Not predicted,0.51,,416.29,36.26,457.73,20.72,1.10,0.047,0.118,366.73,420.78,394.22,454.35,445.37,466.64,427.01,450.37,482.66,461.98
P23219,PGH1_HUMAN,Prostaglandin G/H synthase 1 ,Predicted,0.39,,426.84,82.91,468.99,79.55,1.10,0.347,0.458,401.11,452.19,541.84,312.97,426.11,509.12,563.80,352.66,482.15,437.22
Q9UHB9,SRP68_HUMAN,Signal recognition particle subunit SRP68 ,Not predicted,0.82,,66.63,38.35,73.17,6.07,1.10,0.465,0.569,90.40,88.09,0.00,67.60,87.05,72.94,62.80,77.87,76.40,75.86
Q96JJ7,TMX3_HUMAN,Protein disulfide-isomerase TMX3 ,Predicted,1.03,,141.82,28.23,155.49,25.47,1.10,0.347,0.458,103.72,135.27,179.32,156.83,133.94,145.39,145.74,136.65,200.29,149.40
P49588,SYAC_HUMAN,"Alanine--tRNA ligase, cytoplasmic ",Not predicted,1.05,,582.21,61.12,638.25,43.44,1.10,0.175,0.282,646.96,545.31,626.36,496.98,595.43,659.18,593.68,665.51,683.20,589.67
O14561,ACPM_HUMAN,"Acyl carrier protein, mitochondrial ",Not predicted,1.46,,277.59,164.85,304.31,58.27,1.10,0.754,0.804,350.54,400.33,0.00,381.39,255.70,392.27,262.59,308.44,241.58,316.65
P62136,PP1A_HUMAN,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit ,Not predicted,0.58,,809.07,92.45,886.56,89.75,1.10,0.465,0.569,875.63,774.22,861.64,661.51,872.33,987.95,863.31,962.81,766.55,852.18
P35908,K22E_HUMAN,"Keratin, type II cytoskeletal 2 epidermal ",Not predicted,0.93,,"1,262.27","1,167.78","1,382.43","1,266.31",1.10,0.590,0.690,"2,375.38",0.00,"1,839.32",0.00,"2,096.63","2,159.21",0.00,"2,298.19",0.00,"2,454.77"
Q15046,SYK_HUMAN,Lysine--tRNA ligase ,Not predicted,0.98,,304.18,31.15,332.86,21.02,1.09,0.076,0.155,358.86,287.12,282.89,293.49,298.53,363.56,324.89,344.70,318.99,312.17
Q14980,NUMA1_HUMAN,Nuclear mitotic apparatus protein 1 ,Not predicted,0.66,,299.46,34.36,327.66,17.12,1.09,0.175,0.282,241.64,326.27,322.77,309.88,296.71,319.44,317.07,357.45,326.89,317.47
P30085,KCY_HUMAN,UMP-CMP kinase ,Not predicted,0.86,,119.74,13.40,131.01,40.05,1.09,0.917,0.919,119.32,137.90,108.14,127.51,105.83,191.11,147.22,103.37,89.47,123.89
P22059,OSBP1_HUMAN,Oxysterol-binding protein 1 ,Not predicted,0.63,,67.16,42.30,73.44,43.63,1.09,1.000,1.000,85.47,102.25,0.00,96.23,51.83,79.91,116.28,90.62,80.38,0.00
P06899,H2B1J_HUMAN,Histone H2B type 1-J ,Not predicted,3.23,,"24,291.65","2,229.65","26,556.06","1,385.96",1.09,0.117,0.215,"21,613.51","25,118.18","22,217.13","26,157.70","26,351.74","27,887.52","27,315.98","24,474.63","27,258.50","25,843.65"
P25786,PSA1_HUMAN,Proteasome subunit alpha type-1 ,Not predicted,0.98,,413.89,44.12,451.55,28.19,1.09,0.175,0.282,475.41,405.73,363.80,385.62,438.89,469.82,428.56,489.24,448.31,421.82
P14550,AK1A1_HUMAN,Alcohol dehydrogenase [NADP(+)] ,Not predicted,0.62,,"1,446.08",285.22,"1,577.38",170.59,1.09,0.347,0.458,"1,886.33","1,530.17","1,138.95","1,394.91","1,280.03","1,338.12","1,608.94","1,669.38","1,781.87","1,488.61"
P31943,HNRH1_HUMAN,Heterogeneous nuclear ribonucleoprotein H ,Not predicted,1.37,,"1,635.15",167.28,"1,783.36",211.61,1.09,0.251,0.367,"1,354.03","1,616.36","1,761.65","1,749.31","1,694.39","1,991.81","1,476.44","1,799.99","1,961.83","1,686.72"
P23396,RS3_HUMAN,40S ribosomal protein S3 ,Not predicted,0.73,,"1,350.72",195.41,"1,471.40",151.83,1.09,0.347,0.458,"1,576.93","1,316.17","1,193.78","1,139.51","1,527.19","1,688.84","1,479.97","1,307.39","1,529.94","1,350.87"
P22102,PUR2_HUMAN,Trifunctional purine biosynthetic protein adenosine-3 ,Not predicted,0.51,,141.61,37.99,154.22,30.60,1.09,0.602,0.690,99.99,134.32,129.34,140.88,203.54,200.66,122.98,167.99,140.49,138.95
P04843,RPN1_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 ,Predicted,1.03,,752.14,71.75,818.89,37.12,1.09,0.117,0.215,843.14,764.72,790.37,663.40,699.08,809.57,840.06,872.01,781.70,791.12
P62081,RS7_HUMAN,40S ribosomal protein S7 ,Not predicted,1.35,,838.78,129.30,912.63,98.67,1.09,0.175,0.282,942.94,924.68,757.47,918.80,650.01,793.10,971.85,818.52,976.18,"1,003.49"
P30153,2AAA_HUMAN,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform ,Not predicted,0.56,,556.85,50.83,605.86,81.59,1.09,0.251,0.367,556.36,492.94,537.27,564.65,633.05,558.19,748.44,584.78,589.62,548.29
P63241,IF5A1_HUMAN,Eukaryotic translation initiation factor 5A-1 ,Not predicted,1.14,,"1,360.91",77.52,"1,480.62",193.92,1.09,0.347,0.458,"1,375.10","1,296.45","1,456.93","1,269.42","1,406.64","1,752.51","1,266.43","1,478.43","1,332.30","1,573.42"
P78371,TCPB_HUMAN,T-complex protein 1 subunit beta ,Not predicted,1.15,,480.27,55.19,522.39,71.28,1.09,0.347,0.458,574.11,433.12,467.37,448.93,477.84,598.81,418.69,574.08,529.70,490.68
P10599,THIO_HUMAN,Thioredoxin ,Not predicted,1.19,,532.03,75.10,578.63,78.49,1.09,0.251,0.367,526.20,557.58,485.19,643.85,447.31,704.19,536.95,497.89,559.50,594.63
Q12931,TRAP1_HUMAN,"Heat shock protein 75 kDa, mitochondrial ",Not predicted,0.72,,"2,076.80",263.88,"2,257.71",253.71,1.09,0.347,0.458,"2,489.60","2,129.82","1,945.77","1,782.73","2,036.05","2,433.64","2,499.74","2,372.20","2,072.33","1,910.63"
Q9Y512,SAM50_HUMAN,Sorting and assembly machinery component 50 homolog ,Not predicted,0.49,,236.06,52.10,256.49,153.00,1.09,0.251,0.367,251.40,245.56,273.75,144.98,264.61,406.87,294.72,317.52,0.00,263.32
Q02809,PLOD1_HUMAN,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 ",Predicted,0.91,,184.66,9.66,200.39,5.44,1.09,0.009,0.039,172.00,193.04,176.67,189.44,192.16,206.54,197.68,197.35,194.54,205.85
P17931,LEG3_HUMAN,Galectin-3 ,Not predicted,1.34,,302.37,30.15,327.79,57.26,1.08,0.465,0.569,284.34,314.73,315.92,336.81,260.06,387.49,258.78,274.60,360.98,357.09
P62829,RL23_HUMAN,60S ribosomal protein L23 ,Not predicted,1.73,,668.45,81.54,724.40,51.12,1.08,0.175,0.282,792.68,710.01,625.44,611.75,602.33,721.75,690.09,711.54,812.01,686.63
P04844,RPN2_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 ,Predicted,1.01,,473.43,39.49,512.72,46.47,1.08,0.175,0.282,468.64,513.39,513.97,428.25,442.89,478.39,518.76,590.81,494.40,481.25
Q9UHX1,PUF60_HUMAN,Poly(U)-binding-splicing factor PUF60 ,Not predicted,0.62,,189.11,46.27,204.68,61.92,1.08,0.347,0.458,223.90,196.48,108.60,214.66,201.91,204.18,239.47,261.10,100.90,217.73
Q86UE4,LYRIC_HUMAN,Protein LYRIC ,Not predicted,0.64,,117.24,27.16,126.75,32.55,1.08,0.602,0.690,117.88,109.78,97.04,98.19,163.32,159.22,129.46,153.75,111.64,79.65
P10155,RO60_HUMAN,60 kDa SS-A/Ro ribonucleoprotein ,Not predicted,0.89,,144.92,18.09,156.65,27.75,1.08,0.465,0.569,116.44,149.00,143.41,149.39,166.35,128.43,178.09,156.36,190.18,130.20
O75533,SF3B1_HUMAN,Splicing factor 3B subunit 1 ,Not predicted,1.03,,325.93,141.06,352.11,64.85,1.08,0.917,0.919,145.38,397.33,204.13,427.36,455.43,252.09,366.12,375.11,428.93,338.29
P50995,ANX11_HUMAN,Annexin A11 ,Not predicted,0.72,,226.93,37.08,244.48,20.44,1.08,0.251,0.367,287.88,227.30,210.61,220.34,188.52,270.09,213.75,248.98,239.75,249.82
P56537,IF6_HUMAN,Eukaryotic translation initiation factor 6 ,Not predicted,0.99,,629.32,84.47,677.92,76.15,1.08,0.465,0.569,722.71,496.23,665.65,650.79,611.24,795.85,586.56,684.17,674.99,648.02
Q9NX46,ARHL2_HUMAN,Poly(ADP-ribose) glycohydrolase ARH3 ,Not predicted,0.89,,80.77,45.47,86.99,52.03,1.08,0.402,0.529,0.00,98.97,101.88,108.97,94.02,77.39,124.04,0.00,120.29,113.24
Q96C19,EFHD2_HUMAN,EF-hand domain-containing protein D2 ,Not predicted,0.94,,25.29,34.87,27.24,17.69,1.08,0.829,0.880,69.03,0.00,57.43,0.00,0.00,28.75,0.00,48.67,24.95,33.81
Q92945,FUBP2_HUMAN,Far upstream element-binding protein 2 ,Not predicted,0.62,,333.90,26.00,359.24,17.04,1.08,0.117,0.215,323.59,326.70,370.51,346.96,301.74,377.89,349.55,334.93,369.32,364.48
P12814,ACTN1_HUMAN,Alpha-actinin-1 ,Not predicted,0.55,,"1,861.03",113.65,"2,000.78",90.90,1.08,0.076,0.155,"2,026.06","1,909.24","1,847.54","1,729.76","1,792.52","1,932.53","1,905.63","2,126.53","1,982.03","2,057.18"
P62888,RL30_HUMAN,60S ribosomal protein L30 ,Not predicted,1.37,,"1,010.15",67.94,"1,085.54",44.13,1.07,0.076,0.155,"1,072.14",995.52,"1,073.62",908.71,"1,000.76","1,100.46","1,140.28","1,058.60","1,102.46","1,025.88"
Q9P2E9,RRBP1_HUMAN,Ribosome-binding protein 1 ,Not predicted,0.84,,417.95,44.12,449.06,38.17,1.07,0.465,0.569,398.00,418.95,470.11,355.98,446.71,468.67,442.23,498.14,441.30,394.95
Q8TCT9,HM13_HUMAN,Minor histocompatibility antigen H13 ,Not predicted,0.96,,392.27,66.28,421.40,54.84,1.07,0.754,0.804,308.73,425.38,394.22,352.01,481.00,518.29,392.47,411.93,390.72,393.59
Q00325,MPCP_HUMAN,"Phosphate carrier protein, mitochondrial ",Not predicted,0.73,,"1,382.58",158.44,"1,483.94",218.08,1.07,0.347,0.458,"1,360.69","1,118.23","1,461.50","1,520.40","1,452.07","1,647.13","1,527.19","1,301.79","1,725.05","1,218.57"
P51991,ROA3_HUMAN,Heterogeneous nuclear ribonucleoprotein A3 ,Not predicted,0.89,,"1,640.61",158.21,"1,759.64",108.95,1.07,0.117,0.215,"1,890.77","1,676.98","1,590.33","1,468.69","1,576.26","1,918.26","1,820.36","1,698.61","1,714.94","1,646.01"
P49755,TMEDA_HUMAN,Transmembrane emp24 domain-containing protein 10 ,Predicted,1.04,,540.20,121.12,578.87,51.77,1.07,0.117,0.215,487.39,477.68,477.42,756.10,502.44,537.72,551.89,546.59,662.36,595.78
Q06830,PRDX1_HUMAN,Peroxiredoxin-1 ,Not predicted,0.93,,"4,449.11",640.06,"4,767.27",525.41,1.07,0.465,0.569,"3,812.58","3,692.13","5,007.19","4,859.48","4,874.16","5,360.16","4,050.18","4,852.01","5,126.52","4,447.50"
P46783,RS10_HUMAN,40S ribosomal protein S10 ,Not predicted,0.98,,766.23,110.52,820.07,90.53,1.07,0.602,0.690,837.26,830.46,757.47,577.26,828.72,907.26,675.22,810.43,823.37,884.07
P49257,LMAN1_HUMAN,Protein ERGIC-53 ,Predicted,1.15,,395.64,78.03,423.32,115.33,1.07,0.754,0.804,417.08,513.03,357.77,387.51,302.83,543.70,552.59,368.46,323.04,328.80
Q9BUF5,TBB6_HUMAN,Tubulin beta-6 chain ,Not predicted,0.51,,"4,767.30",659.70,"5,100.00",250.03,1.07,0.602,0.690,"5,518.16","5,288.77","3,998.90","4,821.64","4,209.01","5,131.28","5,079.81","5,115.73","4,734.40","5,438.77"
P11142,HSP7C_HUMAN,Heat shock cognate 71 kDa protein ,Not predicted,0.40,,"4,623.75",456.65,"4,946.12",229.41,1.07,0.175,0.282,"4,009.98","4,915.54","4,283.07","4,819.75","5,090.43","5,009.44","4,952.96","5,039.22","5,168.19","4,560.80"
Q9H1E3,NUCKS_HUMAN,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 ,Not predicted,0.56,,54.97,42.35,58.77,50.70,1.07,0.675,0.767,97.88,20.28,80.91,0.00,75.78,107.47,0.00,116.37,33.02,36.97
Q13547,HDAC1_HUMAN,Histone deacetylase 1 ,Not predicted,0.61,,266.45,17.26,284.70,9.98,1.07,0.117,0.215,270.70,283.76,280.92,251.23,245.65,295.45,273.65,294.88,281.80,277.71
P62191,PRS4_HUMAN,26S protease regulatory subunit 4 ,Not predicted,0.97,,247.82,50.10,264.78,56.36,1.07,0.602,0.690,233.43,204.95,260.27,211.76,328.70,362.91,228.27,258.87,245.75,228.11
Q08211,DHX9_HUMAN,ATP-dependent RNA helicase A ,Not predicted,0.67,,877.52,39.00,937.31,88.02,1.07,0.117,0.215,815.86,885.24,893.62,871.50,921.40,966.54,948.59,993.91,993.86,783.65
P62195,PRS8_HUMAN,26S protease regulatory subunit 8 ,Not predicted,0.94,,189.39,54.75,202.29,53.82,1.07,0.917,0.919,138.95,243.73,125.68,237.24,201.36,234.03,236.79,116.12,182.54,241.95
Q14103,HNRPD_HUMAN,Heterogeneous nuclear ribonucleoprotein D0 ,Not predicted,1.16,,"2,105.12",162.91,"2,247.80",152.16,1.07,0.251,0.367,"2,341.00","1,980.82","2,185.62","1,937.86","2,080.27","2,441.32","2,176.26","2,284.51","2,302.80","2,034.11"
Q9UPN3,MACF1_HUMAN,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 ",Not predicted,0.38,,159.30,146.32,170.09,239.32,1.07,0.911,0.919,0.00,257.90,0.00,291.22,247.40,0.00,0.00,503.05,0.00,347.39
P46926,GNPI1_HUMAN,Glucosamine-6-phosphate isomerase 1 ,Not predicted,0.94,,145.45,13.25,155.06,16.20,1.07,0.347,0.458,152.15,164.12,140.39,141.51,129.09,160.98,179.15,142.62,154.19,138.34
P61604,CH10_HUMAN,"10 kDa heat shock protein, mitochondrial ",Not predicted,1.67,,691.24,121.65,736.22,136.11,1.07,0.465,0.569,783.81,685.55,568.33,841.23,577.25,824.39,629.48,704.07,923.77,599.38
Q9BTV4,TMM43_HUMAN,Transmembrane protein 43 ,Not predicted,1.19,,174.96,24.36,186.17,27.54,1.06,0.917,0.919,193.29,153.89,190.92,143.34,193.37,172.45,230.10,156.80,190.88,180.61
P55209,NP1L1_HUMAN,Nucleosome assembly protein 1-like 1 ,Not predicted,1.22,,398.16,228.29,423.54,73.82,1.06,0.347,0.458,0.00,577.23,504.83,445.34,463.43,403.25,403.89,438.43,334.91,537.23
Q9H0D6,XRN2_HUMAN,5'-3' exoribonuclease 2 ,Not predicted,0.56,,168.91,11.22,179.53,6.73,1.06,0.076,0.155,159.36,166.38,188.36,164.97,165.50,175.96,171.82,182.49,189.43,177.97
Q92878,RAD50_HUMAN,DNA repair protein RAD50 ,Not predicted,0.95,,109.07,12.84,115.89,30.39,1.06,0.602,0.690,125.31,117.59,107.86,92.57,102.01,133.65,154.55,113.76,74.51,102.99
Q00610,CLH1_HUMAN,Clathrin heavy chain 1 ,Not predicted,0.58,,"1,382.34",94.95,"1,468.58",108.64,1.06,0.175,0.282,"1,546.99","1,359.99","1,320.78","1,315.45","1,368.47","1,474.24","1,631.49","1,434.27","1,473.74","1,329.16"
Q15417,CNN3_HUMAN,Calponin-3 ,Not predicted,0.42,,208.32,36.35,221.28,96.28,1.06,0.917,0.919,242.31,217.29,152.77,235.66,193.55,240.35,161.32,372.44,120.35,211.96
Q99460,PSMD1_HUMAN,26S proteasome non-ATPase regulatory subunit 1 ,Not predicted,0.47,,332.35,51.54,352.82,66.23,1.06,0.465,0.569,311.17,311.37,320.21,295.82,423.20,366.80,396.42,412.93,244.42,343.52
P07954,FUMH_HUMAN,"Fumarate hydratase, mitochondrial ",Not predicted,0.91,,420.37,77.90,446.10,35.12,1.06,0.754,0.804,514.89,421.07,452.20,300.93,412.78,473.61,441.81,419.52,489.29,406.28
P0C0S5,H2AZ_HUMAN,Histone H2A.Z ,Not predicted,0.81,,"12,137.32","4,224.32","12,858.26","7,363.70",1.06,0.465,0.569,"6,853.34","15,272.50","9,475.29","17,278.71","11,806.79",0.00,"16,878.68","13,770.48","18,077.62","15,564.54"
P11021,GRP78_HUMAN,78 kDa glucose-regulated protein ,Predicted,1.36,,"4,365.70",336.96,"4,621.29",215.25,1.06,0.117,0.215,"4,109.78","4,544.50","3,909.81","4,573.81","4,690.61","4,664.20","4,666.83","4,695.27","4,825.33","4,254.81"
P61019,RAB2A_HUMAN,Ras-related protein Rab-2A ,Not predicted,1.20,,239.32,32.06,253.30,32.05,1.06,0.602,0.690,288.66,242.42,226.74,200.47,238.32,262.46,206.84,281.32,280.73,235.16
P09211,GSTP1_HUMAN,Glutathione S-transferase P ,Not predicted,0.58,,"2,774.40",386.29,"2,935.89",395.25,1.06,0.917,0.919,"3,381.20","2,738.97","2,360.60","2,547.66","2,843.57","3,373.84","2,737.94","3,345.59","2,524.43","2,697.67"
P39656,OST48_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit ,Not predicted,0.87,,731.84,186.67,773.78,128.02,1.06,0.754,0.804,527.09,834.84,878.54,530.03,888.69,901.78,864.72,707.81,585.83,808.76
Q01105,SET_HUMAN,Protein SET ,Not predicted,1.24,,"2,828.60",251.80,"2,989.93",142.50,1.06,0.251,0.367,"3,192.68","2,736.05","2,806.04","2,502.89","2,905.36","3,169.11","3,062.83","2,866.05","3,026.41","2,825.23"
P46063,RECQ1_HUMAN,ATP-dependent DNA helicase Q1 ,Not predicted,0.61,,318.00,15.68,335.77,42.44,1.06,0.465,0.569,320.93,340.95,308.75,299.10,320.28,323.22,405.16,302.22,344.57,303.69
Q15393,SF3B3_HUMAN,Splicing factor 3B subunit 3 ,Not predicted,0.61,,271.98,23.52,287.00,21.09,1.06,0.175,0.282,311.39,254.25,257.49,261.01,275.75,295.18,257.80,277.28,314.45,290.33
Q9Y3F4,STRAP_HUMAN,Serine-threonine kinase receptor-associated protein ,Not predicted,0.85,,195.40,21.38,206.08,23.34,1.05,0.754,0.804,216.58,202.61,184.94,209.43,163.44,246.49,194.51,189.33,194.67,205.38
P07858,CATB_HUMAN,Cathepsin B ,Predicted,0.78,,"1,243.63",138.44,"1,311.48",132.30,1.05,0.251,0.367,"1,264.21","1,216.10","1,470.18","1,128.79","1,138.88","1,502.78","1,257.97","1,146.30","1,363.24","1,287.09"
P09382,LEG1_HUMAN,Galectin-1 ,Not predicted,0.41,,"1,389.06",192.85,"1,464.59",264.97,1.05,0.602,0.690,"1,223.18","1,425.73","1,636.47","1,490.76","1,169.17","1,838.68","1,188.91","1,249.54","1,445.96","1,599.88"
P08107,HSP71_HUMAN,Heat shock 70 kDa protein 1A/1B ,Not predicted,1.37,,"3,918.83",687.17,"4,131.13",148.68,1.05,0.754,0.804,"2,883.28","4,456.85","3,546.15","4,284.99","4,422.85","4,258.05","3,927.55","4,126.17","4,289.25","4,054.65"
P10809,CH60_HUMAN,"60 kDa heat shock protein, mitochondrial ",Not predicted,0.82,,"1,995.29",185.26,"2,103.13",103.09,1.05,0.251,0.367,"2,252.29","1,996.16","1,855.77","1,786.52","2,085.73","2,209.16","2,115.65","2,145.18","1,932.15","2,113.49"
P08238,HS90B_HUMAN,Heat shock protein HSP 90-beta ,Not predicted,0.83,,"5,878.78",575.39,"6,190.62",435.96,1.05,0.175,0.282,"6,753.53","5,960.73","5,199.07","5,579.01","5,901.58","6,317.37","6,793.76","6,184.28","6,072.39","5,585.32"
Q8NBX0,SCPDL_HUMAN,Saccharopine dehydrogenase-like oxidoreductase ,Not predicted,0.81,,150.83,85.09,158.75,22.04,1.05,0.251,0.367,190.96,175.37,181.92,205.89,0.00,172.67,144.40,151.20,135.76,189.71
P63010,AP2B1_HUMAN,AP-2 complex subunit beta ,Not predicted,0.34,,392.78,28.80,413.36,22.72,1.05,0.175,0.282,358.30,399.31,397.61,434.30,374.38,419.38,401.78,408.20,448.81,388.64
Q14498,RBM39_HUMAN,RNA-binding protein 39 ,Not predicted,1.95,,207.65,47.96,218.37,25.99,1.05,0.465,0.569,238.76,175.29,191.52,158.16,274.54,232.44,205.79,257.31,195.61,200.70
P25788,PSA3_HUMAN,Proteasome subunit alpha type-3 ,Not predicted,1.30,,424.14,37.48,445.64,30.41,1.05,0.175,0.282,401.33,423.70,431.28,481.79,382.62,489.25,408.61,432.27,459.61,438.44
O60763,USO1_HUMAN,General vesicular transport factor p115 ,Not predicted,1.06,,209.04,33.62,219.61,12.67,1.05,0.754,0.804,181.31,220.87,254.24,170.52,218.27,230.80,234.54,204.26,214.05,214.40
P53621,COPA_HUMAN,Coatomer subunit alpha ,Not predicted,0.51,,346.37,37.75,363.21,33.60,1.05,0.465,0.569,344.11,387.77,381.39,307.80,310.77,345.45,419.82,334.99,366.35,349.42
Q14203,DCTN1_HUMAN,Dynactin subunit 1 ,Not predicted,0.31,,86.25,13.09,90.42,14.09,1.05,0.465,0.569,84.25,91.23,66.79,102.92,86.08,84.91,104.37,88.88,103.43,70.50
P48444,COPD_HUMAN,Coatomer subunit delta ,Not predicted,0.63,,236.42,14.07,247.83,10.32,1.05,0.175,0.282,256.83,232.78,224.64,244.17,223.66,246.71,256.03,260.30,235.77,240.32
P04899,GNAI2_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha-2 ,Not predicted,0.58,,544.80,48.12,570.98,51.54,1.05,0.347,0.458,539.40,560.28,464.17,581.36,578.77,607.59,574.58,621.97,560.83,489.94
P51659,DHB4_HUMAN,Peroxisomal multifunctional enzyme type 2 ,Not predicted,0.70,,494.39,31.03,518.00,45.88,1.05,0.347,0.458,449.57,502.51,476.96,519.43,523.46,549.96,551.39,552.50,475.46,460.69
P49419,AL7A1_HUMAN,Alpha-aminoadipic semialdehyde dehydrogenase ,Not predicted,0.46,,325.66,26.18,341.07,22.55,1.05,0.465,0.569,357.86,317.28,348.58,299.54,305.01,372.46,343.28,347.31,310.85,331.44
Q9BSJ8,ESYT1_HUMAN,Extended synaptotagmin-1 ,Not predicted,0.42,,184.42,27.70,193.07,28.89,1.05,0.602,0.690,177.65,142.28,217.79,189.69,194.70,216.31,146.80,208.80,210.58,182.85
P40227,TCPZ_HUMAN,T-complex protein 1 subunit zeta ,Not predicted,1.06,,509.01,46.74,532.87,38.54,1.05,0.175,0.282,591.18,492.72,483.82,477.31,500.02,592.22,531.24,539.13,513.73,488.04
P55010,IF5_HUMAN,Eukaryotic translation initiation factor 5 ,Not predicted,1.17,,210.42,10.37,220.16,19.82,1.05,0.602,0.690,221.01,195.01,216.41,205.14,214.51,249.68,230.38,200.40,208.50,211.82
P04066,FUCO_HUMAN,Tissue alpha-L-fucosidase ,Predicted,0.74,,148.73,85.77,155.49,17.37,1.05,0.251,0.367,182.98,174.56,220.76,165.35,0.00,163.94,152.15,180.25,134.87,146.21
P05388,RLA0_HUMAN,60S acidic ribosomal protein P0 ,Not predicted,0.92,,"1,023.43",65.19,"1,069.77",58.65,1.05,0.175,0.282,"1,072.58",966.31,980.42,985.01,"1,112.83","1,137.24","1,038.80","1,110.22","1,074.05",988.56
Q13200,PSMD2_HUMAN,26S proteasome non-ATPase regulatory subunit 2 ,Not predicted,0.45,,460.07,30.05,480.75,31.26,1.04,0.175,0.282,424.73,443.71,502.09,476.80,453.01,455.83,478.45,519.91,503.75,445.84
P46977,STT3A_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A ,Not predicted,0.66,,184.73,41.73,193.00,27.88,1.04,0.754,0.804,135.63,195.60,235.60,148.70,208.15,192.70,162.80,221.80,219.99,167.72
Q96RQ3,MCCA_HUMAN,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial ",Not predicted,1.02,,96.32,23.84,100.62,16.82,1.04,0.602,0.690,64.15,95.39,96.26,94.34,131.46,103.73,74.84,95.16,110.63,118.74
Q9UBE0,SAE1_HUMAN,SUMO-activating enzyme subunit 1 ,Not predicted,0.40,,192.39,21.62,200.91,8.59,1.04,0.602,0.690,214.58,195.23,208.42,160.24,183.49,212.35,196.77,204.82,189.43,201.17
Q01130,SRSF2_HUMAN,Serine/arginine-rich splicing factor 2 ,Not predicted,1.23,,570.91,93.24,596.16,103.00,1.04,0.347,0.458,583.09,528.95,519.45,495.53,727.55,553.80,538.92,779.95,549.34,558.80
P54136,SYRC_HUMAN,"Arginine--tRNA ligase, cytoplasmic ",Not predicted,0.79,,253.65,9.53,264.84,20.21,1.04,0.251,0.367,259.94,255.13,261.69,237.61,253.89,264.33,276.40,289.03,259.33,235.10
Q15424,SAFB1_HUMAN,Scaffold attachment factor B1 ,Not predicted,0.84,,172.07,102.87,179.56,102.53,1.04,1.000,1.000,0.00,258.49,157.98,215.42,228.44,223.61,258.57,211.60,204.01,0.00
